 央视频道,#genre#
 熊猫频道3,http://hlsbkmgsplive.miguvideo.com/envivo_x/2018/SD/xiongmao03/1000/index.m3u8?&encrypt=
 熊猫频道4,http://hlsbkmgsplive.miguvideo.com/envivo_x/2018/SD/xiongmao04/1000/index.m3u8?&encrypt=
 熊猫频道5,http://hlsbkmgsplive.miguvideo.com/envivo_x/2018/SD/xiongmao05/1000/index.m3u8?&encrypt=
 熊猫频道6,http://hlsbkmgsplive.miguvideo.com/envivo_x/2018/SD/xiongmao06/1000/index.m3u8?&encrypt=
 熊猫频道7,http://hlsbkmgsplive.miguvideo.com/envivo_x/2018/SD/xiongmao07/1000/index.m3u8?&encrypt=
 熊猫频道8,http://hlsbkmgsplive.miguvideo.com/envivo_x/2018/SD/xiongmao08/1000/index.m3u8?&encrypt=
 熊猫频道9,http://hlsbkmgsplive.miguvideo.com/envivo_x/2018/SD/xiongmao09/1000/index.m3u8?&encrypt=
 熊猫频道10,http://hlsbkmgsplive.miguvideo.com/envivo_x/2018/SD/xiongmao10/1000/index.m3u8?&encrypt=
数字频道,#genre#
 咪咕24小时体育,http://hlsbkmgsplive.miguvideo.com/wd_r2/virtuallive/tysy201903/150/index.m3u8?&encrypt=
 爱国影展,http://hlsbkmgsplive.miguvideo.com/wd_r3/virtuallive/5100179213/150/index.m3u8?&encrypt=
 爆款动画电影,http://hlsbkmgsplive.miguvideo.com/wd_r3/virtuallive/5100172731/150/index.m3u8?&encrypt=
 纯爱文艺影院,http://hlsbkmgsplive.miguvideo.com/wd_r3/virtuallive/5102354660/150/index.m3u8?&encrypt=
 成龙作品集,http://hlsbkmgsplive.miguvideo.com/wd_r2/virtuallive/5102010211/150/index.m3u8?&encrypt=
 CUVA频道,http://hlsbkmgsplive.miguvideo.com/migu/test/zbzktest1/50/20200115/index.m3u8?&encrypt=
 大咖在现场,http://hlsbkmgsplive.miguvideo.com/wd_r2/virtuallive/5100182138/150/index.m3u8?&encrypt=
 盗墓方法论,http://hlsbkmgsplive.miguvideo.com/wd_r3/virtuallive/5100179159/150/index.m3u8?&encrypt=
 红色谍战剧场,http://hlsbkmgsplive.miguvideo.com/wd_r3/virtuallive/5101079524/150/index.m3u8?&encrypt=
 郭富城影院,http://hlsbkmgsplive.miguvideo.com/wd_r2/virtuallive/5102010220/150/index.m3u8?&encrypt=
 高分影院,http://hlsbkmgsplive.miguvideo.com/wd_r1/virtuallive/5101000708/150/index.m3u8?&encrypt=
 国际剧场,http://hlsbkmgsplive.miguvideo.com/wd_r3/virtuallive/5100179386/150/index.m3u8?&encrypt=
 古龙作品集,http://hlsbkmgsplive.miguvideo.com/wd_r2/virtuallive/5102010216/150/index.m3u8?&encrypt=
 高能烧脑时刻,http://hlsbkmgsplive.miguvideo.com/wd_r3/virtuallive/5100179386/150/index.m3u8?&encrypt=
 高清大片,http://hlsbkmgsplive.miguvideo.com/wd_r3/cctv/gaoqingdapian/600/index.m3u8?&encrypt=
 怀旧老片,http://hlsbkmgsplive.miguvideo.com/wd_r3/virtuallive/5100074916/150/index.m3u8?&encrypt=
 红色轮播台,http://hlsbkmgsplive.miguvideo.com/migu/virtuallive2/5900002413/50/20210706/index.m3u8?&encrypt=
 经典动画大集合,http://hlsbkmgsplive.miguvideo.com/wd_r3/cctv/jingdiandonghua/600/index.m3u8?&encrypt=
 经典放映厅,http://hlsbkmgsplive.miguvideo.com/wd_r2/virtuallive/5100184532/150/index.m3u8?&encrypt=
 经典影视速看,http://hlsbkmgsplive.miguvideo.com/wd_r1/virtuallive/5101000751/150/index.m3u8?&encrypt=
 健康中国,http://hlsbkmgsplive.miguvideo.com/wd_r2/virtuallive/5100183930/150/index.m3u8?&encrypt=
 军旅剧场,http://hlsbkmgsplive.miguvideo.com/wd_r2/virtuallive/5100180303/150/index.m3u8?&encrypt=
 军事大片,http://hlsbkmgsplive.miguvideo.com/wd-virtuallive5100002089-150/index.m3u8?&encrypt=
 僵尸剧场,http://hlsbkmgsplive.miguvideo.com/wd_r2/virtuallive/5100192783/150/index.m3u8?&encrypt=
 金庸频道,http://hlsbkmgsplive.miguvideo.com/wd_r2/virtuallive/5100181876/150/index.m3u8?&encrypt=
 解压影院,http://hlsbkmgsplive.miguvideo.com/wd_r2/virtuallive/5100180868/150/index.m3u8?&encrypt=
 开心麻花剧场,http://hlsbkmgsplive.miguvideo.com/wd_r3/virtuallive/5100179816/150/index.m3u8?&encrypt=
 刘德华影院,http://hlsbkmgsplive.miguvideo.com/wd_r3/virtuallive/5102354855/150/index.m3u8?&encrypt=
 林正英剧场,http://hlsbkmgsplive.miguvideo.com/wd_r3/virtuallive/5102354855/150/index.m3u8?&encrypt=
 咪咕独家放送,http://hlsbkmgsplive.miguvideo.com/wd_r3/virtuallive/5100178536/150/index.m3u8?&encrypt=
 美国电影时刻,http://hlsbkmgsplive.miguvideo.com/wd_r2/virtuallive/5102010221/150/index.m3u8?&encrypt=
 MiguC Live,http://hlsbkmgsplive.miguvideo.com/migu/miguc/volleyball2/51/20191122/index.m3u8?&encrypt=
 热剧联播,http://hlsbkmgsplive.miguvideo.com/wd_r3/cctv/rejulianbo/600/index.m3u8?&encrypt=
 试胆大会,http://hlsbkmgsplive.miguvideo.com/wd_r2/virtuallive/5101098146/150/index.m3u8?&encrypt=
 世界杯遗珠大赏,http://hlsbkmgsplive.miguvideo.com/wd_r2/virtuallive/5100181674/150/index.m3u8?&encrypt=
 少林真功夫,http://hlsbkmgsplive.miguvideo.com/wd_r2/virtuallive/5102010220/150/index.m3u8?&encrypt=
 SNH48剧场公演,http://hlsbkmgsplive.miguvideo.com/wd_r2/virtuallive/5102010213/150/index.m3u8?&encrypt=
 赛事最经典,http://hlsbkmgsplive.miguvideo.com/wd_r3/cctv/saishijingdian/600/index.m3u8?&encrypt=
 体坛名栏汇,http://hlsbkmgsplive.miguvideo.com/wd_r3/cctv/titanminglan/600/index.m3u8?&encrypt=
 泰想看电影,http://hlsbkmgsplive.miguvideo.com/wd_r1/virtuallive/5101000755/150/index.m3u8?&encrypt=
 体育影视,http://hlsbkmgsplive.miguvideo.com/wd_r2/virtuallive/5100181836/150/index.m3u8?&encrypt=
 吴京作品集,http://hlsbkmgsplive.miguvideo.com/wd_r2/virtuallive/5100180867/150/index.m3u8?&encrypt=
 王牌对王牌,http://hlsbkmgsplive.miguvideo.com/wd_r1/virtuallive/5101000747/150/index.m3u8?&encrypt=
 温情催泪影院,http://hlsbkmgsplive.miguvideo.com/wd_r1/virtuallive/5101000708/150/index.m3u8?&encrypt=
 乡村振兴,http://hlsbkmgsplive.miguvideo.com/migu/virtuallive2/5900002409/50/20210706/index.m3u8?&encrypt=
 喜剧联盟,http://hlsbkmgsplive.miguvideo.com/wd_r2/virtuallive/5101097468/150/index.m3u8?&encrypt=
 新片放映厅,http://hlsbkmgsplive.miguvideo.com/wd-virtuallive5100030975-150/index.m3u8?&encrypt=
 印度神片,http://hlsbkmgsplive.miguvideo.com/wd_r3/virtuallive/5100172024/150/index.m3u8?&encrypt=
 运动员演戏,http://hlsbkmgsplive.miguvideo.com/wd_r3/virtuallive/5100170828/150/index.m3u8?&encrypt=
 预防感冒小知识,http://hlsbkmgsplive.miguvideo.com/wd_r1/virtuallive/5101000744/150/index.m3u8?&encrypt=
 约你看韩影,http://hlsbkmgsplive.miguvideo.com/wd_r2/virtuallive/5100180869/150/index.m3u8?&encrypt=
 粤听粤爱,http://hlsbkmgsplive.miguvideo.com/wd_r3/virtuallive/5100179384/75/index.m3u8?&encrypt=
 影像俄罗斯,http://hlsbkmgsplive.miguvideo.com/migu/virtuallive2/5900002415/50/20210706/index.m3u8?&encrypt=
 张国荣影院,http://hlsbkmgsplive.miguvideo.com/wd_r3/virtuallive/5102354727/150/index.m3u8?&encrypt=
 智慧养老,http://hlsbkmgsplive.miguvideo.com/wd-virtuallive5100002043-75/index.m3u8?&encrypt=
 走进艺术,http://hlsbkmgsplive.miguvideo.com/wd_r2/virtuallive/5100182141/150/index.m3u8?&encrypt=
 最强综艺趴,http://hlsbkmgsplive.miguvideo.com/wd_r3/cctv/zuiqiangzongyi/600/index.m3u8?&encrypt=
 周润发影院,http://hlsbkmgsplive.miguvideo.com/wd_r2/virtuallive/5102010103/150/index.m3u8?&encrypt=
 周星驰影院,http://hlsbkmgsplive.miguvideo.com/wd_r3/virtuallive/5100144102/150/index.m3u8?&encrypt=
 综艺现场,http://hlsbkmgsplive.miguvideo.com/wd_r3/virtuallive/5100074920/150/index.m3u8?&encrypt=
